----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    3
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/3
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/3
meta_root                                data/yelp23/3/train-data
[2024-08-03 16:22:18.321154]: context ppl 544.6951 | text ppl 49.0228 | rating loss 1.0185 |  6600/ 9625 batches
[2024-08-03 16:22:24.579961]: context ppl 545.8846 | text ppl 49.2654 | rating loss 1.0057 |  6800/ 9625 batches
[2024-08-03 16:22:30.829218]: context ppl 545.1599 | text ppl 49.3682 | rating loss 0.9916 |  7000/ 9625 batches
[2024-08-03 16:22:37.098281]: context ppl 547.8098 | text ppl 49.2674 | rating loss 1.0034 |  7200/ 9625 batches
[2024-08-03 16:22:43.353064]: context ppl 545.1113 | text ppl 48.7281 | rating loss 0.9984 |  7400/ 9625 batches
[2024-08-03 16:22:49.609060]: context ppl 547.0352 | text ppl 48.8303 | rating loss 0.9801 |  7600/ 9625 batches
[2024-08-03 16:22:55.847335]: context ppl 547.7171 | text ppl 48.6484 | rating loss 0.9743 |  7800/ 9625 batches
[2024-08-03 16:23:02.052577]: context ppl 544.2457 | text ppl 48.2153 | rating loss 0.9602 |  8000/ 9625 batches
[2024-08-03 16:23:08.247741]: context ppl 547.9901 | text ppl 48.4823 | rating loss 0.9672 |  8200/ 9625 batches
[2024-08-03 16:23:14.463620]: context ppl 543.0420 | text ppl 47.8517 | rating loss 0.9567 |  8400/ 9625 batches
[2024-08-03 16:23:20.678709]: context ppl 544.6949 | text ppl 47.9703 | rating loss 0.9560 |  8600/ 9625 batches
[2024-08-03 16:23:26.872586]: context ppl 546.9807 | text ppl 47.3303 | rating loss 0.9664 |  8800/ 9625 batches
[2024-08-03 16:23:33.067441]: context ppl 546.6039 | text ppl 47.6867 | rating loss 0.9465 |  9000/ 9625 batches
[2024-08-03 16:23:39.277187]: context ppl 547.0472 | text ppl 47.7181 | rating loss 0.9502 |  9200/ 9625 batches
[2024-08-03 16:23:45.472834]: context ppl 547.3325 | text ppl 47.3807 | rating loss 0.9413 |  9400/ 9625 batches
[2024-08-03 16:23:51.671306]: context ppl 546.1651 | text ppl 47.3081 | rating loss 0.9465 |  9600/ 9625 batches
[2024-08-03 16:23:52.424349]: context ppl 535.6851 | text ppl 45.8665 | rating loss 0.9218 |  9625/ 9625 batches
[2024-08-03 16:24:08.256876]: context ppl 541.3396 | text ppl 48.0165 | rating loss 0.9504 | valid loss 4.8219 on validation
[2024-08-03 16:24:08.577467]: epoch 3
[2024-08-03 16:24:15.759783]: context ppl 545.3049 | text ppl 45.6496 | rating loss 0.9103 |   200/ 9625 batches
[2024-08-03 16:24:22.005406]: context ppl 540.4477 | text ppl 45.1369 | rating loss 0.9000 |   400/ 9625 batches
[2024-08-03 16:24:28.207076]: context ppl 546.8235 | text ppl 45.6673 | rating loss 0.9151 |   600/ 9625 batches
[2024-08-03 16:24:34.403872]: context ppl 545.2921 | text ppl 45.6926 | rating loss 0.9144 |   800/ 9625 batches
[2024-08-03 16:24:40.608430]: context ppl 547.0611 | text ppl 45.5088 | rating loss 0.8969 |  1000/ 9625 batches
